sport,league,team_a,team_b,starts_at,label,stream_type,stream_url,verified,verify_message
"Football","Kings Cup 26/27","Al Jabalin","Al-Ettifaq","2026-08-18T16:15:00.000Z","Server 2","hls","https://stream.sports3.win/iptv/live/signal-4602287-34567.m3u8","FAIL","not M3U8"
"Football","Kings Cup 26/27","Al Faisaly","Neom SC","2026-08-18T18:00:00.000Z","Server 3","hls","https://tvsen7.aynaott.com/zY3hJ7pQ2vM5gD8s/index.m3u8?e=1784102508&u=ee5437a7-c16b-4700-b317-a41b77d5cba9&ip=52.157.32.49&token=58eaaf823b8b124213229ac251f2efbc","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Fenerbahçe","Olympique Lyonnais","2026-08-18T19:00:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/fb6jy4pxts/out/v1/f8fa17f087564f51aa4d5c700be43ec4/cenc.mpd","FAIL","not MPD"
"Football","UEFA Champions League 26/27","Fenerbahçe","Olympique Lyonnais","2026-08-18T19:00:00.000Z","SP - 2","dash","https://live-pv-ta.amazon.fastly-edge.com/gru-nitro/live/clients/dash/enc/mjl28zz5rj/out/v1/8e4dbe981d574983a5a0c96b874cc5b9/cenc.mpd|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","FAIL","not MPD"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/puehlftk5j/out/v1/f7f0da1ee112481ca0024e6d4dd97f4a/cenc.mpd","OK","OK (MPD)"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","Arabic","hls","http://het119a.ycn-redirect.com/live/918454578001/index.m3u8?t=tB9jjKNGmM6N10pcPFNj-A&e=1776186349|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","FAIL","HTTPConnectionPool(host='het119a.ycn-redirect.com'"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","BDIX","hls","https://saseries.akamaized.net/hls/live/2110097/56408643-tapMad/master.m3u8","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","SP - 3","dash","https://otte.cache.aiv-cdn.net/bom-nitro/enc/9fswtwjj0c/out/v1/1070854a94fe427dbfdd78a5dac2743f/cenc.mpd","FAIL","not MPD"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","SP","hls","https://melancholy.fromthyheart.site/dailymotion/live/playlist/5.m3u8","OK","OK (media)"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","SonyLIV - Hindi","hls","https://sonymtmnew.akamaized.net/hls/live/2005445/UCL_Baye1504/HIN/std_lrh-800300010.m3u8?hdnea=exp=1776321113~acl=/*~id=73290982892272677427497237003877~hmac=3d1961d7b141f6da0bbaf7a18d7bc8129d8650fcec114b375d1f8ae3ace26dc4","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","GNK Dinamo Zagreb","Viking FK","2026-08-18T19:00:00.000Z","SonyLIV - English","hls","https://sonymtmnew.akamaized.net/hls/live/2005445/UCL_Baye1504/ENG/std_lrh-800300010.m3u8?hdnea=exp=1776321113~acl=/*~id=73290982892272677427497237003877~hmac=3d1961d7b141f6da0bbaf7a18d7bc8129d8650fcec114b375d1f8ae3ace26dc4","FAIL","not M3U8"
"Cricket","Caribbean Premier League, 2026","Jamaica Kingsmen","St Kitts and Nevis Patriots","2026-08-19T00:00:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570053.m3u8","FAIL","not M3U8"
"Cricket","Caribbean Premier League, 2026","Jamaica Kingsmen","St Kitts and Nevis Patriots","2026-08-19T00:00:00.000Z","Server 2","hls","https://live.vivo200.com/live/hd-en-1-4517581.m3u8?txSecret=6319fa2b78d3fc19435e8d3a4f39cb9e&txTime=69E02695|referer=https://player.mix5000.com/","FAIL","not M3U8"
"Cricket","Caribbean Premier League, 2026","Jamaica Kingsmen","St Kitts and Nevis Patriots","2026-08-19T00:00:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/fb6jy4pxts/out/v1/f8fa17f087564f51aa4d5c700be43ec4/cenc.mpd","FAIL","not MPD"
"Football","Kings Cup 26/27","Damac FC","Al-Taawoun","2026-08-19T16:15:00.000Z","SP - 2","dash","https://live-pv-ta.amazon.fastly-edge.com/gru-nitro/live/clients/dash/enc/mjl28zz5rj/out/v1/8e4dbe981d574983a5a0c96b874cc5b9/cenc.mpd|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","FAIL","not MPD"
"Football","Kings Cup 26/27","Jeddah","Al-Kholood","2026-08-19T16:30:00.000Z","SP - 3","dash","https://otte.cache.aiv-cdn.net/bom-nitro/enc/9fswtwjj0c/out/v1/1070854a94fe427dbfdd78a5dac2743f/cenc.mpd","FAIL","not MPD"
"Football","Kings Cup 26/27","Al Ula","Al-Fateh","2026-08-19T18:00:00.000Z","SonyLIV - English","hls","https://sonymtmnew.akamaized.net/hls/live/2005445/UCL_Baye1504/ENG/std_lrh-800300010.m3u8?hdnea=exp=1776321113~acl=/*~id=73290982892272677427497237003877~hmac=3d1961d7b141f6da0bbaf7a18d7bc8129d8650fcec114b375d1f8ae3ace26dc4","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Celtic","LASK","2026-08-19T19:00:00.000Z","SonyLIV - Hindi","hls","https://sonymtmnew.akamaized.net/hls/live/2005445/UCL_Baye1504/HIN/std_lrh-800300010.m3u8?hdnea=exp=1776321113~acl=/*~id=73290982892272677427497237003877~hmac=3d1961d7b141f6da0bbaf7a18d7bc8129d8650fcec114b375d1f8ae3ace26dc4","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Celtic","LASK","2026-08-19T19:00:00.000Z","Arabic","hls","http://het119a.ycn-redirect.com/live/918454578001/index.m3u8?t=tB9jjKNGmM6N10pcPFNj-A&e=1776186349|user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","FAIL","HTTPConnectionPool(host='het119a.ycn-redirect.com'"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","Server 2","hls","https://live.vivo200.com/live/hd-en-1-4517581.m3u8?txSecret=6319fa2b78d3fc19435e8d3a4f39cb9e&txTime=69E02695|referer=https://player.mix5000.com/","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570060.m3u8","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","Server 2","hls","https://stream.sports3.win/iptv/live/signal-4602287-34567.m3u8","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","SP - 2","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/w0rehjjrwe/out/v1/69a2a7041395406b970598f61680e7cf/cenc.mpd","OK","OK (MPD)"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","SP - 2","dash","https://otte.cache.aiv-cdn.net/iad-nitro/live/clients/dash/enc/z5oyxzsxdk/out/v1/7695a0f64a0e424b973d5b09a2a3eb91/cenc.mpd","OK","OK (MPD)"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","Server 1","hls","https://hls.live123.fans/live/4602287.m3u8","FAIL","not M3U8"
"Football","UEFA Champions League 26/27","Hapoel Be'er Sheva","Sabah FK","2026-08-19T19:00:00.000Z","Tapmad","hls","https://saseries.akamaized.net/hls/live/2110097/2356jkiL-tapmad/master.m3u8","FAIL","not M3U8"
"Football","LaLiga 26/27","Atlético Madrid","Málaga CF","2026-08-19T19:00:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/iad-nitro/live/clients/dash/enc/x6oqpug9mu/out/v1/502432e8607547b4a6278d3cc64d5b78/cenc.mpd","FAIL","not MPD"
"Football","LaLiga 26/27","Atlético Madrid","Málaga CF","2026-08-19T19:00:00.000Z","Server 1","hls","https://hls.live123.fans/live/4570037.m3u8","FAIL","not M3U8"
"Motorsports","Formula 1","Formula 1","Formula 1","2026-08-21T10:30:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/puehlftk5j/out/v1/f7f0da1ee112481ca0024e6d4dd97f4a/cenc.mpd","OK","OK (MPD)"
"Motorsports","Formula 1","Formula 1","Formula 1","2026-08-21T10:30:00.000Z","SP","hls","https://raw.githubusercontent.com/athenapanda26/hls/refs/heads/main/smack.m3u8","OK","OK (master)"
"Motorsports","Formula 1","Formula 1","Formula 1","2026-08-21T10:30:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/m6sqanvm2m/out/v1/f6beb46c6e9a4132ad739f3ca27df6aa/cenc.mpd","OK","OK (MPD)"
"Cricket","Bangladesh in Australia, 2026","Australia","Bangladesh","2026-08-22T00:00:00.000Z","Server 1","hls","http://tvsen5.aynascope.net/willowhd/index.m3u8","OK","OK (master)"
"Cricket","Bangladesh in Australia, 2026","Australia","Bangladesh","2026-08-22T00:00:00.000Z","SP","dash","https://otte.cache.aiv-cdn.net/bom-nitro/enc/x3hwxiq65g/out/v1/548c2dbc4dec4a6594c6a244e9643d14/cenc.mpd","FAIL","not MPD"
"WWE","Friday Night SmackDown","Friday Night SmackDown","Friday Night SmackDown","2026-08-22T00:00:00.000Z","SP - 2","dash","https://otte.cache.aiv-cdn.net/bom-nitro/live/clients/dash/enc/wjeweupwyc/out/v1/8197c8e055c94a868623653ac55c10bf/cenc.mpd","OK","OK (MPD)"
"WWE","Friday Night SmackDown","Friday Night SmackDown","Friday Night SmackDown","2026-08-22T00:00:00.000Z","SP - 2","hls","https://ubuntu.fromthyheart.site/dailymotion/live/playlist/5.m3u8","OK","OK (media)"
"Motorsports","MotoGP","MotoGP","MotoGP","2026-08-25T08:45:00.000Z","Server 2","hls","https://cdn01isb-n.tamashaweb.com:8087/jazzauth/NCC-2026-SVOD-abr/playlist.m3u8?wmsAuthSign=c2VydmVyX3RpbWU9OC8xMS8yMDI2IDExOjUzOjMxIEFNJmhhc2hfdmFsdWU9U0tlVFlPcm5zSDV0dVk4dmNuRFlYZz09JnZhbGlkbWludXRlcz02MA%3D%3D","OK","OK (master)"
"Motorsports","MotoGP","MotoGP","MotoGP","2026-08-25T08:45:00.000Z","Server 2","hls","https://live.kinescopecdn.net/on-air/5bf2c07e-3604-42cf-959a-67ed8914ffd5/1bcd3c63-b6fb-436b-af37-21e34de6234b/master.m3u8","OK","OK (media)"
"Motorsports","MotoGP","MotoGP","MotoGP","2026-08-25T08:45:00.000Z","SP - 3","dash","https://qp-pldt-live-grp-13-prod.akamaized.net/out/u/dr_spotv2hd.mpd","OK","OK (MPD)"
